"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.089086756>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.14991313>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=2.3133242>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.102689005>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.16916393>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=3.1753767>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.10691872>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.18987465>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=3.3174438>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.09052768>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.1517492>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=2.3736062>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.1452645>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.24367218>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.71706074>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.14327614>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.24264593>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.6527212>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.14526232>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.24030226>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.920276>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.14852862>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.24330448>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.9949916>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.14809316>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.23479113>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.7617931>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.11008744>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.18364838>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=2.8410695>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.09381195>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.16474383>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=3.0568695>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.08910309>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.15020514>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=2.6026208>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.106708534>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.18108097>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=3.0805693>}]"
