,Matrix,Class 0,Class 1,Class 2
Class 0,CM,2,12,186
Class 1,CM,0,16,184
Class 2,CM,0,0,200

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,0,0,200
Class 1,CM,0,0,200
Class 2,CM,0,0,200

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,1,4,195
Class 1,CM,0,0,200
Class 2,CM,0,0,200

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,15,21,164
Class 1,CM,0,36,164
Class 2,CM,0,0,200

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,0,0,200
Class 1,CM,0,0,200
Class 2,CM,0,0,200

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,0,12,188
Class 1,CM,0,14,186
Class 2,CM,0,0,200

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,0,0,200
Class 1,CM,0,0,200
Class 2,CM,0,0,200

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,1,17,182
Class 1,CM,0,9,191
Class 2,CM,0,0,200

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,0,1,199
Class 1,CM,0,2,198
Class 2,CM,0,0,200

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,0,1,199
Class 1,CM,0,3,197
Class 2,CM,0,0,200

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,0,0,200
Class 1,CM,0,0,200
Class 2,CM,0,0,200

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,6,17,177
Class 1,CM,0,49,151
Class 2,CM,0,0,200

